combinator,1001,TOK_COMBINATOR
evaluate,1002,TOK_EVALUATE
dictionary,1003,TOK_DICTIONARY
set,1004,TOK_SET
int,1100,TOK_INT
float,1101,TOK_FLOAT
string,1102,TOL_STRING
;,2000,TOK_SEMICOLON
(,2001,TOK_OPENPAREN
),2002,TOK_CLOSEPAREN
[,2003,TOK_OPENBRACKET
],2004,TOK_CLOSEBRACKET
{,2005,TOK_OPENBRACE
},2006,TOK_CLOSEBRACE
",",2007,TOK_COMMA
\,3000,TOK_SLASH
.,3001,TOK_DOT
+,3002,TOK_PLUS
-,3003,TOK_MINUS
*,3004,TOK_MULTIPLY
/,3005,TOK_DIVIDE
:=,3006,TOK_ASSIGN
==,3007,TOK_EQUALTO
<,3008,TOK_LESSTHAN
>,3009,TOK_GREATERTHAN
<>,3010,TOK_NOTEQUALTO
and,3011,TOK_AND
or,3012,TOK_OR
not,3013,TOK_NOT
length,3014,TOK_LENGTH
identifier,4000,TOK_IDENTIFIER
c-identifier,4001,TOK_CIDENTIFIER
integer_literal,4002,TOK_INTLIT
floating-point_literal,4003,TOK_FLOATLIT
string,4004,TOK_STRINGLIT
End_of_file,5000,TOK_EOF
Unknown_lexeme,6000,TOK_UNKNOWN
